mobile_name,mobile_price,mobile_color,dual_sim,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
"Realme Narzo 10A (So White, 32 GB)","₹8,999",So White,Dual Sim,16.56 cm (6.52 inch),1600 x 720 Pixels,Android 10,Octa Core,2 GHz,32 GB,3 GB,12MP + 2MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,75 mm,164.4 mm,8.95 mm,195 g
"Realme Narzo 10A (So Blue, 32 GB)","₹8,999",So Blue,Dual Sim,16.56 cm (6.52 inch),1600 x 720 Pixels,Android 10,Octa Core,2 GHz,32 GB,3 GB,12MP + 2MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,75 mm,164.4 mm,8.95 mm,195 g
"Realme Narzo 10A (So Blue, 64 GB)","₹9,999",So Blue,Dual Sim,16.56 cm (6.52 inch),1600 x 720 Pixels,Android 10,Octa Core,2 GHz,64 GB,4 GB,12MP + 2MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,75 mm,164.4 mm,8.95 mm,195 g
"Realme Narzo 10A (So White, 64 GB)","₹9,999",So White,Dual Sim,16.56 cm (6.52 inch),1600 x 720 Pixels,Android 10,Octa Core,2 GHz,64 GB,4 GB,12MP + 2MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,75 mm,164.4 mm,8.95 mm,195 g
"Realme Narzo 10 (That Green, 128 GB)","₹11,999",That Green,Dual Sim,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 10,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,75.4 mm,164.4 mm,9 mm,199 g
"Realme Narzo 10 (That White, 128 GB)","₹11,999",That White,Dual Sim,16.51 cm (6.5 inch),1600 x 720 Pixels,Android 10,Octa Core,2 GHz,128 GB,4 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",Yes,5000 mAh,75.4 mm,164.4 mm,9 mm,199 g
"Realme 5 Pro (Crystal Green, 64 GB)","₹14,999",Crystal Green,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.3 GHz,64 GB,6 GB,48MP + 8MP + 2MP + 2MP Quad Camera,16MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4035 mAh,74.2 mm,157 mm,8.9 mm,184 g
"Realme 5 Pro (Crystal Green, 128 GB)","₹16,999",Crystal Green,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.3 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP Quad Camera,16MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4035 mAh,74.2 mm,157 mm,8.9 mm,184 g
"Realme 5 Pro (Sparkling Blue, 128 GB)","₹16,999",Sparkling Blue,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.3 GHz,128 GB,8 GB,48MP + 8MP + 2MP + 2MP Quad Camera,16MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4035 mAh,74.2 mm,157 mm,8.9 mm,184 g
"Realme 5 Pro (Sparkling Blue, 64 GB)","₹13,999",Sparkling Blue,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Android Pie 9.0,Octa Core,2.3 GHz,64 GB,4 GB,48MP + 8MP + 2MP + 2MP Quad Camera,16MP Front Camera,"3G, 4G VOLTE, 2G",Yes,4035 mAh,74.2 mm,157 mm,8.9 mm,184 g
"Realme X2 Pro (Lunar White, 256 GB)","₹35,999",Lunar White,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,256 GB,12 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 Pro (Neptune Blue, 256 GB)","₹35,999",Neptune Blue,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,256 GB,12 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
"Realme X2 Pro (Neptune Blue, 128 GB)","₹31,999",Neptune Blue,Dual Sim,16.51 cm (6.5 inch),2400 x 1080 Pixels,Android Pie 9,Octa Core,2.96 GHz,128 GB,8 GB,64MP + 13MP + 8MP + 2MP,16MP Front Camera,"3G, 4G VOLTE, 4G, 2G",Yes,4000 mAh,75.7 mm,161 mm,8.7 mm,199 g
